Id;Фамилия;Имя;Отчество;Возраст;Пол;Магазин;До_пенсии
54;Рябова;Аделия;Оскаровна;45;ж;М1558;10
55;Анисимова;Лилия;Антониновна;51;ж;М1558;4
56;Селиверстов;Севастьян;Давидович;21;м;М1558;39
57;Дементьев;Александр;Геннадьевич;30;м;М1558;30
58;Туров;Парамон;Яковлевич;35;м;М1394;25
59;Киселёва;Эльвира;Улебовна;30;ж;М1394;25
60;Рябова;Ветта;Даниловна;24;ж;М1394;31
61;Гуляев;Владислав;Авксентьевич;32;м;М1394;28
62;Сорокина;Альвина;Федоровна;34;ж;М669;21
63;Лукин;Игнат;Яковович;42;м;М669;18
64;Харитонова;Милана;Сергеевна;32;ж;М669;23
65;Сергеев;Вилли;Владиславович;33;м;М669;27
66;Доронина;Анита;Эдуардовна;29;ж;М669;26
67;Фролов;Михаил;Богданович;40;м;М669;20
68;Меркушева;Инесса;Наумовна;30;ж;М669;25
69;Лобанов;Вальтер;Донатович;42;м;М669;18
70;Куликов;Кирилл;Рубенович;51;м;М669;9
71;Пономарёв;Мечеслав;Иванович;50;м;М669;10
72;Ширяева;Артемида;Владимировна;21;ж;М1432;34
73;Уварова;Ангелина;Денисовна;31;ж;М1432;24
74;Белякова;Альберта;Владимировна;50;ж;М1432;5
75;Орлова;Мишель;Витальевна;23;ж;М1432;32
76;Голубева;Милда;Владленовна;34;ж;М1432;21
77;Громова;Борислава;Демьяновна;49;ж;М1432;6
78;Зимина;Ева;Митрофановна;21;ж;М1432;34
79;Терентьева;Санта;Матвеевна;43;ж;М1432;12
80;Зуев;Ермак;Львович;40;м;М1432;20
81;Комаров;Арнольд;Сергеевич;25;м;М1432;35
82;Дорофеева;Анастасия;Оскаровна;32;ж;М1432;23
83;Ефремов;Роман;Владиславович;37;м;Н1567;23
84;Соловьёв;Мечеслав;Рубенович;31;м;Н1567;29
85;Фадеев;Илья;Валерьянович;21;м;Н1567;39
86;Мишин;Касьян;Яковович;25;м;Н1567;35
87;Носова;Санда;Серапионовна;52;ж;Н1567;3
88;Ковалёв;Любомир;Гордеевич;34;м;Н1567;26
89;Якушева;Оксана;Алексеевна;52;ж;Н1567;3
90;Савин;Арсений;Алексеевич;29;м;Н1567;31
91;Журавлёв;Леонтий;Ильяович;32;м;Н1567;28
92;Кузнецова;Видана;Максимовна;33;ж;Н1567;22
93;Медведев;Кассиан;Георгиевич;34;м;Н1845;26
94;Кулакова;Фая;Борисовна;43;ж;Н1845;12
95;Дьячков;Вадим;Сергеевич;50;м;Н1845;10
96;Аксёнова;Амелия;Эдуардовна;32;ж;Н1845;23
97;Сафонов;Осип;Борисович;35;м;Н1845;25
98;Зимин;Павел;Антонинович;42;м;Н1845;18
99;Самсонова;Наталья;Владленовна;28;ж;Н908;27
100;Гурьев;Вениамин;Эдуардович;23;м;Н908;37
101;Анисимов;Афанасий;Лаврентьевич;44;м;Н908;16
102;Галкина;Фия;Константиновна;31;ж;Н908;24
103;Морозов;Игнат;Фролович;23;м;Н908;37
104;Моисеев;Клим;Германнович;31;м;Н908;29
105;Богданова;Видана;Тарасовна;38;ж;Н908;17
106;Турова;Любовь;Аристарховна;23;ж;Н908;32
107;Большаков;Корней;Аристархович;39;м;О370;21
108;Ефремова;Жаклин;Петровна;29;ж;О370;26
109;Некрасов;Александр;Николаевич;32;м;О370;28
110;Соловьёва;Эмма;Геннадьевна;41;ж;О370;14
111;Большаков;Максим;Богданович;25;м;О370;35
112;Лыткин;Дмитрий;Данилович;40;м;О370;20
113;Яковлев;Флор;Святославович;38;м;О370;22
114;Прохорова;Инара;Святославовна;23;ж;О370;32
115;Морозов;Нелли;Глебович;33;ж;О370;22
116;Федосеева;Вероника;Рудольфовна;22;ж;О2097;33
117;Капустин;Осип;Александрович;46;м;О2097;14
118;Воронцов;Кондрат;Викторович;21;м;О2097;39
119;Андреев;Игнатий;Дамирович;33;м;О2097;27
120;Андреев;Альфред;Феликсович;38;м;О1094;22
121;Гурьева;Симона;Платоновна;27;ж;О1094;28
122;Костина;Эльвина;Михаиловна;25;ж;О1094;30
123;Хохлова;Генриетта;Дмитрьевна;34;ж;О1094;21
124;Новикова;Леся;Богдановна;38;ж;О228;17
125;Суворова;Галина;Всеволодовна;37;ж;О228;18
126;Меркушева;Станислава;Викторовна;42;ж;О228;13
127;Герасимова;Эрика;Натановна;51;ж;О228;4
128;Жукова;Сара;Никитевна;30;ж;О228;25
129;Алексеева;Аксинья;Юлиановна;21;ж;О228;34
130;Полякова;Санда;Якуновна;35;ж;О228;20
131;Исаков;Климент;Максимович;49;м;О228;11
132;Ефремов;Назарий;Максимович;41;м;О228;19
133;Мухина;Мальта;Евгеньевна;34;ж;О228;21
134;Аксёнов;Вениамин;Дмитрьевич;29;м;Ч356;31
135;Потапова;Кара;Геннадиевна;37;ж;Ч356;18
136;Гуляева;Эмбер;Эльдаровна;30;ж;Ч356;25
137;Белов;Лев;Данилович;43;м;Ч356;17
138;Якушев;Владлен;Авксентьевич;35;м;Ч356;25
139;Иванова;Эмилия;Макаровна;24;ж;Ч356;31
140;Евсеев;Ефим;Петрович;30;м;Ч356;30
141;Новиков;Агафон;Мэлсович;40;м;Ч356;20
142;Данилов;Алан;Денисович;32;м;Ч356;28
143;Мельников;Касьян;Ефимович;47;м;Ч356;13
144;Галкина;Клавдия;Витальевна;43;ж;Ч1922;12
145;Емельянова;Асида;Кирилловна;48;ж;Ч1922;7
146;Воронова;Эльвина;Наумовна;29;ж;Ч1922;26
147;Рыбаков;Флор;Иванович;46;м;Ч1922;14
148;Денисова;Кира;Платоновна;48;ж;Ч1922;7
149;Богданов;Нелли;Адольфович;36;ж;Ч1922;19
150;Селиверстов;Натан;Анатольевич;21;м;Ч1922;39
151;Красильникова;Леся;Степановна;35;ж;Ч1922;20
152;Беляков;Родион;Семёнович;30;м;Ч1922;30
153;Суханов;Аким;Степанович;47;м;Ч1922;13
154;Русаков;Гурий;Романович;24;м;Ч1922;36
155;Некрасова;Диша;Мироновна;38;ж;Ч1922;17
156;Макарова;Тала;Кимовна;38;ж;Ч1922;17
157;Боброва;Беатриса;Георгиевна;31;ж;Ч1415;24
158;Якушева;Доминика;Якуновна;22;ж;Ч1415;33
159;Андреев;Аверкий;Владимирович;26;м;Ч1415;34
160;Кузнецова;Патрисия;Максовна;39;ж;Ч1415;16
161;Веселова;Тереза;Георгиевна;39;ж;Ч1415;16
162;Третьякова;Елена;Серапионовна;29;ж;Ч1415;26
163;Максимов;Клемент;Феликсович;28;м;Ч1415;32
164;Михайлов;Гавриил;Геннадиевич;29;м;Ч100;31
165;Мельникова;Инара;Федосеевна;40;ж;Ч100;15
166;Романов;Касьян;Агафонович;37;м;Ч100;23
167;Терентьева;Алеся;Васильевна;35;ж;Ч100;20
168;Елисеева;Джулия;Кимовна;21;ж;Ч100;34
169;Воронов;Пантелей;Владиславович;22;м;Ч100;38
170;Андреев;Севастьян;Львович;43;м;Ч100;17
171;Фёдоров;Геннадий;Кириллович;33;м;Ч100;27
172;Никифоров;Осип;Антонович;23;м;Ч100;37
173;Филатов;Емельян;Степанович;34;м;Щ1118;26
174;Гуляева;Евгения;Артемовна;49;ж;Щ1118;6
175;Крюкова;Крис;Станиславовна;37;ж;Щ1118;18
176;Русакова;Эрида;Адольфовна;42;ж;Щ1118;13
